Índices y tasas;Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Periodo;Total
Índice;Nacional;;General;2024T4;165,433
Índice;Nacional;;General;2024T3;162,521
Índice;Nacional;;General;2024T2;158,083
Índice;Nacional;;General;2024T1;152,618
Índice;Nacional;;General;2023T4;148,69
Índice;Nacional;;General;2023T3;150,273
Índice;Nacional;;General;2023T2;146,583
Índice;Nacional;;General;2023T1;143,58
Índice;Nacional;;General;2022T4;142,666
Índice;Nacional;;General;2022T3;143,86
Índice;Nacional;;General;2022T2;141,433
Índice;Nacional;;General;2022T1;138,742
Índice;Nacional;;General;2021T4;135,291
Índice;Nacional;;General;2021T3;133,652
Índice;Nacional;;General;2021T2;130,937
Índice;Nacional;;General;2021T1;127,831
Índice;Nacional;;General;2020T4;127,179
Índice;Nacional;;General;2020T3;128,255
Índice;Nacional;;General;2020T2;126,799
Índice;Nacional;;General;2020T1;126,695
Índice;Nacional;;General;2019T4;125,32
Índice;Nacional;;General;2019T3;126,135
Índice;Nacional;;General;2019T2;124,175
Índice;Nacional;;General;2019T1;122,758
Índice;Nacional;;General;2018T4;120,954
Índice;Nacional;;General;2018T3;120,491
Índice;Nacional;;General;2018T2;117,941
Índice;Nacional;;General;2018T1;114,994
Índice;Nacional;;General;2017T4;113,457
Índice;Nacional;;General;2017T3;112,442
Índice;Nacional;;General;2017T2;110,41
Índice;Nacional;;General;2017T1;108,239
Índice;Nacional;;General;2016T4;105,848
Índice;Nacional;;General;2016T3;105,431
Índice;Nacional;;General;2016T2;104,601
Índice;Nacional;;General;2016T1;102,775
Índice;Nacional;;General;2015T4;101,305
Índice;Nacional;;General;2015T3;101,358
Índice;Nacional;;General;2015T2;100,687
Índice;Nacional;;General;2015T1;96,651
Índice;Nacional;;General;2014T4;97,194
Índice;Nacional;;General;2014T3;97,002
Índice;Nacional;;General;2014T2;96,805
Índice;Nacional;;General;2014T1;95,208
Índice;Nacional;;General;2013T4;95,512
Índice;Nacional;;General;2013T3;96,742
Índice;Nacional;;General;2013T2;96,041
Índice;Nacional;;General;2013T1;96,768
Índice;Nacional;;General;2012T4;103,593
Índice;Nacional;;General;2012T3;105,073
Índice;Nacional;;General;2012T2;109,187
Índice;Nacional;;General;2012T1;112,861
Índice;Nacional;;General;2011T4;118,782
Índice;Nacional;;General;2011T3;123,948
Índice;Nacional;;General;2011T2;127,528
Índice;Nacional;;General;2011T1;129,059
Índice;Nacional;;General;2010T4;133,718
Índice;Nacional;;General;2010T3;133,846
Índice;Nacional;;General;2010T2;136,79
Índice;Nacional;;General;2010T1;134,626
Índice;Nacional;;General;2009T4;136,313
Índice;Nacional;;General;2009T3;136,845
Índice;Nacional;;General;2009T2;138,082
Índice;Nacional;;General;2009T1;138,693
Índice;Nacional;;General;2008T4;142,511
Índice;Nacional;;General;2008T3;147,134
Índice;Nacional;;General;2008T2;149,618
Índice;Nacional;;General;2008T1;150,082
Índice;Nacional;;General;2007T4;150,64
Índice;Nacional;;General;2007T3;151,719
Índice;Nacional;;General;2007T2;150,103
Índice;Nacional;;General;2007T1;145,935
